Date,Price
2015-04-29,9.850709808648278e-05
2015-04-30,0.0001027201061974
2015-05-01,9.902770539045052e-05
2015-05-02,9.781801805010743e-05
2015-05-03,9.076129014659312e-05
2015-05-04,9.072412992940637e-05
2015-05-05,8.851408162077307e-05
2015-05-06,8.690375727008734e-05
2015-05-07,8.895605397667906e-05
2015-05-08,9.174831192698044e-05
2015-05-09,9.20434400877998e-05
2015-05-10,9.103290159943238e-05
2015-05-11,9.0984480687468e-05
2015-05-12,0.0001101101908825
2015-05-13,0.0001150019243038
2015-05-14,0.0001138871211171
2015-05-15,0.0001201515491037
2015-05-16,0.0001161892571791
2015-05-17,0.0001147357870982
2015-05-18,0.00011531499061
2015-05-19,0.0001192411215817
2015-05-20,0.0001324385008578
2015-05-21,0.0001326056796686
2015-05-22,0.0001402995283679
2015-05-23,0.0001386604484837
2015-05-24,0.0001422172519314
2015-05-25,0.0001410868193753
2015-05-26,0.0001602331814353
2015-05-27,0.000182441430491
2015-05-28,0.0001921510076315
2015-05-29,0.0001752740498295
2015-05-30,0.0001612557277528
2015-05-31,0.0001533681544372
2015-06-01,0.0001420010727084
2015-06-02,0.0001589434980945
2015-06-03,0.0001509322906767
2015-06-04,0.0001484931550613
2015-06-05,0.0001520399447463
2015-06-06,0.000157496234372
2015-06-07,0.0001524607488879
2015-06-08,0.0001586936233873
2015-06-09,0.0001611036623546
2015-06-10,0.0001544227821702
2015-06-11,0.000155342046343
2015-06-12,0.0001555866593657
2015-06-13,0.0001618023869648
2015-06-14,0.0001642942329079
2015-06-15,0.0001671572657712
2015-06-16,0.0001932911470216
2015-06-17,0.0001904541782857
2015-06-18,0.0002030331800756
2015-06-19,0.0002000623202153
2015-06-20,0.0002006118496328
2015-06-21,0.0001977270037262
2015-06-22,0.0001979779067124
2015-06-23,0.0001866643435352
2015-06-24,0.0001824790773747
2015-06-25,0.0001846981178365
2015-06-26,0.0001814662495336
2015-06-27,0.0001964484524463
2015-06-28,0.0001894167921526
2015-06-29,0.0002001670463749
2015-06-30,0.0001981727210296
2015-07-01,0.0001909974112346
2015-07-02,0.0001897108083055
2015-07-03,0.0001894232769263
2015-07-04,0.0001914741153756
2015-07-05,0.0001905605816681
2015-07-06,0.0001894921418072
2015-07-07,0.0001878119528215
2015-07-08,0.0001874834214975
2015-07-09,0.0001934564574834
2015-07-10,0.000201624295304
2015-07-11,0.0001933526382513
2015-07-12,0.0002050289977757
2015-07-13,0.0001992132059073
2015-07-14,0.0001990213304743
2015-07-15,0.0001848648275665
2015-07-16,0.000171322250705
2015-07-17,0.0001791280767182
2015-07-18,0.0001779210533778
2015-07-19,0.000169208834625
2015-07-20,0.0001728122355029
2015-07-21,0.0001683382495261
2015-07-22,0.0001829995152168
2015-07-23,0.0001773387034783
2015-07-24,0.0001870455171501
2015-07-25,0.0001881996643149
2015-07-26,0.0001872304023228
2015-07-27,0.00018727904853
2015-07-28,0.0001879624414215
2015-07-29,0.0001837774653611
2015-07-30,0.0001833319462309
2015-07-31,0.0001842711530722
2015-08-01,0.000175416617287
2015-08-02,0.0001730766284228
2015-08-03,0.0001746488231173
2015-08-04,0.0001756370209736
2015-08-05,0.0001738155604196
2015-08-06,0.0001676722848989
2015-08-07,0.0001673137226148
2015-08-08,0.0001601691761192
2015-08-09,0.0001619909918089
2015-08-10,0.0001608067326731
2015-08-11,0.0001631133815891
2015-08-12,0.0001603767239482
2015-08-13,0.0001557237806239
2015-08-14,0.000155529113544
2015-08-15,0.0001534208955664
2015-08-16,0.0001476819593883
2015-08-17,0.0001495136476081
2015-08-18,0.000142918345872
2015-08-19,0.000131609787808
2015-08-20,0.000137817621372
